VERIFY CH4 Sites;;;;;;;;;;;;
"Suggested usage: 0=validation; 1=core; 2=inclusive; -1=do not use";;;;;;;;;;;;
ID;Station;Type;Contributor;Lat;Lon;Elev;Sheight;Source;Startdate;Enddate;Usage;Comment
BAL;Baltic Sea;F;NOAA;55.5;16.67;7;25;NOAA;199208;201106;2;
BIS;Biscarosse, France;C;LSCE;44.37;-1.23;120;47;LSCE;200909;201804;1;
BSC;Black Sea Constanta;F;NOAA;44.18;28.66;3;5;NOAA;199410;201112;2;
BIK;Bialystok, Poland;C;MPIBGC;53.23;23.01;183;300;INGOS;200507;201407;1;
BIR;Birkenes, Norway;C;NILU;58.39;8.25;215;3;EBAS;201401;201912;2;
BRM;Beromunster, Switzerland;C;UBERN;47.19;8.18;797;212;UBERN;201211;201912;2;
BGU;Begur;F;LSCE;41.97;3.23;13;2;LSCE;200002;201801;1;
CBW;Cabauw, Netherlands;C;TNO;51.97;4.93;0;200;TNO;199303;201906;-9;discontinuity in 2010
CGR;Capo Granitola, Italy;C;ISAC;37.67;12.65;5;4;WDCGG;201501;201812;2;
CIB;CIBA, Spain;F;NOAA;41.81;-4.93;845;5;NOAA;200905;201903;1;
CMN;Mt Cimone, Italy;C;UNIURB;44.17;10.68;2165;7;WDCGG;200801;201712;1;
CMN;Mt Cimone, Italy;C;IAFMS;44.17;10.68;2165;7;WDCGG;201501;201912;1;
CUR;Monte Curcio, Italy;C;IIA;39.32;16.42;1798;3;WDCGG;201501;201712;2;
DEC;Delta de l'Ebre, Spain;C;IC3;40.744;0.787;2;10;IC3;201301;201912;2;
ECO;Lecce Environmental-Climate Obs, Italy;C;ISAC;40.34;18.12;36;7;WDCGG;201501;201712;-1;no referenced calibration scale
EEC;El Estrecho, Spain;C;IC3;36.059;-5.664;20;20;IC3;201501;201712;-1;shifts in baseline
FIK;Finokalia, Greece;F;LSCE;35.34;25.67;150;0;LSCE;199902;201711;1;
FKL;Finokalia, Greece;C;LSCE;35.34;25.67;150;0;LSCE;201406;201804;2;
GAT;Gartow, Germany;C;DWD;53.07;11.44;69;341;WDCGG;201701;201812;-1;
GAT;Gartow, Germany;C;DWD;53.07;11.44;69;341;ICOS;201605;201904;2;
GIC;Sierra de Gredos, Spain;C;IC3;40.346;-5.176;1436;20;IC3;201301;201712;2;
GIF;Gif sur Yvette, France;C;LSCE;48.71;2.15;160;7;LSCE;200106;201803;1;
GLH;Giordan Lighthouse, Malta;C;UMLT;36.07;14.22;160;7;WDCGG;201201;201712;-1;no referenced calibration scale
HEI;Heidelberg, Germany;C;IUP;49.42;8.68;113;30;INGOS;200001;201409;1;
HPB;Hohenpeissenberg, Germany;C;DWD;47.8;11.01;934;131;WDCGG;201509;201812;-1;
HPB;Hohenpeissenberg, Germany;C;DWD;47.8;11.01;934;131;ICOS;201509;201904;2;
HPB;Hohenpeissenberg, Germany;F;NOAA;47.8;11.02;985;5;NOAA;200604;201903;1;
