,station,network,i,lon,lat,alt,tstep,parameter,icon_ilevel
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,59
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,58
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,57
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,56
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,55
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,54
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,53
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,52
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,51
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,50
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,49
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,48
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,47
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,46
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,45
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,44
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,43
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,42
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,41
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,40
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,39
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,38
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,37
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,36
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,35
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,34
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,33
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,32
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,31
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,30
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,29
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,28
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,27
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,26
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,25
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,24
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,23
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,22
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,21
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,20
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,19
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,18
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,17
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,16
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,15
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,14
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,13
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,12
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,11
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,10
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,9
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,8
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,7
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,6
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,5
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,4
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,3
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,2
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,1
0,TROPOMI,WFMD,19314,7.7974,45.3155,-999,11.0,CH4,0
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,59
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,58
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,57
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,56
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,55
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,54
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,53
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,52
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,51
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,50
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,49
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,48
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,47
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,46
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,45
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,44
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,43
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,42
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,41
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,40
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,39
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,38
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,37
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,36
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,35
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,34
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,33
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,32
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,31
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,30
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,29
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,28
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,27
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,26
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,25
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,24
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,23
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,22
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,21
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,20
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,19
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,18
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,17
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,16
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,15
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,14
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,13
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,12
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,11
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,10
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,9
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,8
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,7
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,6
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,5
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,4
1,TROPOMI,WFMD,19304,8.4771,45.5933,-999,11.0,CH4,3
