Time_EPOCH;Latitude;Longitude;Altitude;WindU;WindV;Temperature_C; RH_percent; CH4_ppm;CO2_ppm;H2O_percent;C2H6_ppb;Heading_deg;GrdSpeed_mps;AGL_m;BLIndex_m
1570446300;44.6615;27.1824;433.3;-3.4;-6.3;6.5;82.21;1.9787;411.8098;0.76;-0.13;198.9;86.1;433.3;0.06
1570446301;44.6608;27.182;425.3;-3.8;-6.2;6.66;82.17;1.9785;411.8098;0.76;-0.28;198.3;86.2;425.3;0.0482
1570446302;44.66;27.1817;417.2;-3.7;-6.4;6.67;81.42;1.9784;411.7092;0.76;-0.36;198.1;86.4;417.2;0.043
1570446303;44.6593;27.1813;409.4;-3.5;-6.2;6.7;81.01;1.9779;411.7092;0.76;-0.63;197.7;86.4;409.4;0.0385
1570446304;44.6586;27.181;401.8;-3.2;-5.8;6.7;80.44;1.9776;411.6449;0.76;-0.62;197.4;86.4;401.8;0.034
1570446305;44.6578;27.1806;395.7;-3.8;-6;6.89;79.97;1.9776;411.6449;0.76;-0.75;196.6;86.4;395.7;0.0335
1570446306;44.6571;27.1803;390.3;-4.1;-5.5;6.97;79.48;1.9777;411.6723;0.76;-0.35;196.1;86.1;390.3;0.0376
1570446307;44.6564;27.18;384.4;-3.4;-5.8;6.96;78.97;1.9784;411.6723;0.76;-1.14;196.6;85.9;384.4;0.0414
1570446308;44.6556;27.1796;377.5;-3.8;-5.9;7.02;78.62;1.9788;411.7555;0.76;-1.21;196.4;85.7;377.5;0.0454
1570446309;44.6549;27.1793;370.8;-3.8;-5.5;7.19;78.21;1.9787;411.7555;0.76;-0.76;196.1;85.5;370.8;0.0495
1570446310;44.6542;27.179;364.1;-3.8;-5.8;7.19;78.13;1.9787;411.7252;0.76;-0.59;196.1;85.2;364.1;0.0528
1570446311;44.6534;27.1787;358.4;-4.3;-5.5;7.13;77.85;1.9779;411.7252;0.76;-1.25;194.9;85.1;358.4;0.0559
1570446312;44.6527;27.1784;354.3;-3.9;-5.7;7.27;77.81;1.9773;411.7024;0.76;-1.21;194.7;84.8;354.3;0.0589
1570446313;44.652;27.1781;350.1;-3.6;-6.1;7.36;77.57;1.9786;411.7024;0.76;-0.64;194.5;84.5;350.1;0.0602
1570446314;44.6512;27.1778;346;-4.1;-6.6;7.43;77.46;1.9789;411.7812;0.77;-0.97;194;84.2;346;0.0617
1570446315;44.6505;27.1775;341.9;-3.5;-6.5;7.46;77.3;1.978;411.7812;0.77;-1.08;194;84;341.9;0.0617
1570446316;44.6498;27.1772;337.6;-3.4;-6.8;7.46;77.01;1.9777;411.7533;0.77;-0.83;194.1;83.8;337.6;0.0611
