ID;RELEASE;SUBDIR_ECWMF;SUBDIR_COSMO;Station;Contributor;ICOS2020;Flask/Continuous;Latitude;Longitude;Elevation (masl);Sheight (magl);Usage_D4.7;Usage_D4.8;Usage_D4.15;REMARKS;;;;;;;;;;
BAL;BAL_25_AGL;CORE_01;VRF00;Baltic Sea;NOAA;N;F;.5;16.67;7;25;assim;option;exclude;discontinued in 2011;;;;;;;;;;
BEO;BEO_923_ASL;;ADDITIONAL;Beromunster;UniBern;N;C;47.19;8.18;797;212;option;option;option;;;;;;;;;;;
BEO;BEO_212_AGL;NEW_EXTRA;VRFY01;Beromunster;UniBern;N;C;47.19;8.18;797;212;exclu55de;option;exclude;;;;;;;;;;;
BEO;BEO_1009_ASL;;ADDITIONAL;Beromunster;UniBern;N;C;47.19;8.18;797;212;exclude;exclude;exclude;;;;;;;;;;;
BGU;BGU_5_AGL;CORE_01;VRFY00;Begur;LSCE;N;F;41.97;3.23;13;2;assim;assim;option;;;;;;;;;;;
BIK;BIK_300_AGL;CORE_01;;Bialystok;MPI;N;C;53.23;23.01;183;300;assim;assim;outside;;;;;;;;;;;
BIR;BIR_5_AGL;MISSING_CORE_1;;Birkenes;NILU;N;C;58.39;8.25;215;3;assim;valid;outside;;;;;;;;;;;
BIS;BIS_5_AGL;;VRFY01;Biscarosse;LSCE;N;C;44.37;-1.23;120;47;exclude;exclude;exclude;;;;;;;;;;;
BIS;BIS_47_AGL;MISSING_CORE_1;ADDITIONAL;Biscarosse;LSCE;N;C;44.37;-1.23;120;47;assim;assim;option;;;;;;;;;;;
BSC;;;;Constanta (Black Sea);NOAA;N;F;44.18;28.66;3;5;exclude;exclude;outside;Site is highly polluted;;;;;;;;;;
CBW;CBW_200_AGL;CORE_01;VRFY00;Cabauw;ECN;N;C;51.97;4.93;0;200;assim;assim;option;;;;;;;;;;;
CGR;CGR_5_AGL;;VRFY02;Capo Granitola;ISAC;N;C;37.67;12.65;5;4;option;option;option;;;;;;;;;;;
CIB_NOA_000;CIB_5_AGL;;ADDITIONAL;Centro de Investigacion de la Baja Atmosfera (CIBA), Spain;NOAA;N;F;41.81;-4.93;845;5;valid;assim;assim;missing in our footprints;;;;;;;;;;
CMN;CMN_2172_ASL;MISSING_CORE_1;VRFY00;Monte Cimone;UNIURB;Y;C;44.18;10.68;2165;7;assim;assim;exclude;;;;;;;;;;;
CMN;CMN_1753_ASL;;VRFY00;Monte Cimone;UNIURB;Y;C;44.18;10.68;2165;7;exclude;exclude;exclude;;;;;;;;;;;
CMN_ICO_001;CMN_2172_ASL;MISSING_CORE_1;VRFY00;Monte Cimone;ICOS;Y;C;44.18;10.68;2165;7;assim;exclude;assim;Started in May 2018;;;;;;;;;;
CUR;CUR_1803_ASL;;VRFY02;Monte Curcio;CNR;N;C;39.316;16.423;1798;3;valid;valid;option;;;;;;;;;;;
CUR;CUR_1583_ASL;;VRFY02;Monte Curcio;CNR;N;C;39.316;16.423;1798;3;exclude;exclude;exclude;;;;;;;;;;;
DEC;DEC_10_AGL;;VRFY01;Delta de l'Ebre;IC3;N;C;40.744;0.787;10;5;valid;valid;option;;;;;;;;;;;
ECO;ECO_7_AGL;;VRFY02;Lecce Environmental-Climate Observatory;ISAC;N;C;40.34;18.12;36;7;option;option;option;;;;;;;;;;;
EEC;EEC_5_AGL;;VRFY02;El Estrecho;IC3;N;C;36.059;-5.664;20;20;valid;valid;option;;;;;;;;;;;
FIK;FIK_15_AGL;CORE_01;;Finokalia;LSCE;N;F;35.34;25.67;150;15;assim;assim;outside;;;;;;;;;;;
FKL;FIK_15_AGL;CORE_01;;Finokalia;LSCE;N;C;35.34;25.67;150;15;assim;assim;outside;;;;;;;;;;;
GAT;GAT_341_AGL;;VRFY02;Gartow;DWD;Y;C;53.066;11.443;70;341;valid;valid;exclude;;;;;;;;;;;
GAT_ICO_001;GAT_30_AGL;;ADDITIONAL;Gartow, 70m+30m, ICOS, Germany;ICOS;Y;C;53.066;11.443;70;30;valid;valid;valid;;;;;;;;;;;
GAT_ICO_002;GAT_60_AGL;;ADDITIONAL;Gartow, 70m+60m, ICOS, Germany;ICOS;Y;C;53.066;11.443;70;60;valid;valid;valid;;;;;;;;;;;
GAT_ICO_003;GAT_132_AGL;;ADDITIONAL;Gartow, 70m+132m, ICOS, Germany;ICOS;Y;C;53.066;11.443;70;132;valid;valid;valid;;;;;;;;;;;
GAT_ICO_004;GAT_216_AGL;;ADDITIONAL;Gartow, 70m+216m, ICOS, Germany;ICOS;Y;C;53.066;11.443;70;216;valid;valid;valid;;;;;;;;;;;
GAT_ICO_005;GAT_341_AGL;;VRFY02;Gartow, 70m+341m, ICOS, Germany;ICOS;Y;C;53.066;11.443;70;341;valid;valid;assim;;;;;;;;;;;
GIC;GIC_20_AGL;;ADDITIONAL;Sierra de Gredos;IC3;N;C;40.346;-5.176;1436;20;option;valid;option;GIC_5_AGL also available for FLEXPART-COSMO;;;;;;;;;;
GIF;GIF_7_AGL;CORE_01;VRFY00;Gif-sur-Yvette;LSCE;N;C;48.71;2.15;160;7;assim;assim;option;;;;;;;;;;;
GLH;;;;Giordan Lighthouse;UoM;N;C;36.07;14.22;160;7;exclude;exclude;exclude;;;;;;;;;;;
HEI;HEI_30_AGL;CORE_01;VRFY00;Heidelberg;IOP;N;C;49.42;8.68;113;30;assim;assim;option;;;;;;;;;;;
HPB;HBP_1027_ASL;;VRFY00;Hohenpeissenberg;DWD;Y;C;47.8011;11.0246;934;93;valid;valid;valid;;;;;;;;;;;
HPB;HPB_5_AGL;MISSING_CORE_1;;Hohenpeissenberg;NOAA;N;F;47.8;11.02;985;5;assim;assim;exclude;;;;;;;;;;;
HPB;HPB_990_ASL;;VRFY00;Hohenpeissenberg;NOAA;N;F;47.8;11.02;985;5;exclude;exclude;assim;;;;;;;;;;;
HPB_ICO_001;HPB_984_ASL;;ADDITIONAL;Hohenpeissenberg, 934m+50m, ICOS, Germany;ICOS;Y;C;47.8011;11.0246;934;50;exclude;exclude;valid;more releases available for FLEXPART-COSMO;;;;;;;;;;
HPB_ICO_003;HPB_1065_ASL;;ADDITIONAL;Hohenpeissenberg, 934m+131m, ICOS, Germany;ICOS;Y;C;47.8011;11.0246;934;131;exclude;exclude;assim;;;;;;;;;;;
HTM;HTM_70_AGL;;ADDITIONAL;Hyltemossa;ICOS;Y;C;56.098;13.419;115;70;exclude;exclude;valid;;;;;;;;;;;
HTM_ICO_001;HTM_30_AGL;;ADDITIONAL;Hyltemossa, 115m+30m, ICOS, Sweden;ICOS;Y;C;56.098;13.419;115;30;exclude;exclude;valid;;;;;;;;;;;
HTM_ICO_003;HTM_150_AGL;;ADDITIONAL;Hyltemossa, 115m+150m, ICOS, Sweden;ICOS;Y;C;56.098;13.419;115;150;valid;valid;assim;started in Apr 2017;;;;;;;;;;
HUN;HUN_96_AGL;CORE_01;VRFY00;Hegyhatsal;NOAA;N;F;46.95;16.63;248;96;assim;assim;assim;;;;;;;;;;;
HUN;HUN_96_AGL;CORE_01;VRFY00;Hegyhatsal;HMS;N;C;46.95;16.63;248;96;valid;assim;valid;;;;;;;;;;;
ICE;;;;Storhofdi;NOAA;N;F;63.4;-20.28;118;9;outside;outside;outside;;;;;;;;;;;
IPR;IPR_16_AGL;MISSING_CORE_1;VRFY00;Ispra;JRC;N;C;45.81;8.64;210;16;assim;assim;exclude;;;;;;;;;;;
IPR;IPR_100_AGL;NEW_EXTRA;VRFY00;Ispra, 210m+100m, ICOS, Italy;ICOS;Y;C;45.81;8.64;210;100;exclude;assim;assim;started in Dec 2017;;;;;;;;;;
IPR_ICO_001;IPR_40_AGL;;VRFY00;Ispra, 210m+40m, ICOS, Italy;ICOS;Y;C;45.81;8.64;210;40;exclude;exclude;valid;;;;;;;;;;;
IPR_ICO_002;IPR_60_AGL;;VRFY00;Ispra, 210m+60m, ICOS, Italy;ICOS;Y;C;45.81;8.64;210;60;exclude;exclude;valid;;;;;;;;;;;
IPR_ICO_003;IPR_100_AGL;;VRFY00;Ispra, 210m+100m, ICOS, Italy;ICOS;Y;C;45.81;8.64;210;100;exclude;exclude;assim;started in Dec 2017;;;;;;;;;;
IVI;;;;Ivittut;LSCE;N;F;61.21;-48.12;10;5;outside;outside;outside;;;;;;;;;;;
IZO;;;;Izana, Tenerife;AEMET;N;C;28.31;-16.5;2373;13;outside;outside;outside;;;;;;;;;;;
