,station,network,i,lon,lat,alt,tstep,parameter,icon_ilevel
0,brm_c,empa,19205,8.175482,47.189569,1009.0,0.0,N2O,-999
1,bsd_c,univbris,11128,-1.15036,54.35861,630.0,0.0,N2O,-999
2,gat_c,(mohp),6246,11.44,53.07,410.0,0.0,N2O,-999
3,hel_c,(mohp),5827,7.88,54.18,153.0,0.0,N2O,-999
4,hfd_c,univbris,11207,0.2306,50.9767,307.0,0.0,N2O,-999
5,hpb_c,(mohp),18990,11.0246,47.8011,1065.0,0.0,N2O,-999
6,hun_c,(elte); (atomki),20354,16.6522,46.9558,330.0,0.0,N2O,-999
7,kit_c,(mohp),19054,8.42,49.09,310.0,0.0,N2O,-999
8,lin_c,(mohp),6265,14.1226,52.1663,171.0,0.0,N2O,-999
9,mhd_c,univbris,4242,-9.90456,53.32663,18.4,0.0,N2O,-999
10,ope_c,(andra),18900,5.5,48.56,510.0,0.0,N2O,-999
11,oxk_c,(mohp); (mpi-bgc),18504,11.81,50.03,1185.0,0.0,N2O,-999
12,pal_c,(fmi); fmi,8205,24.1156997680664,67.9732971191406,572.0,0.0,N2O,-999
13,puy_c,(lsce),11950,2.97,45.77,1475.0,0.0,N2O,-999
