Time_EPOCH;Latitude;Longitude;Altitude;WindU;WindV;Temperature_C; RH_percent; CH4_ppm;CO2_ppm;H2O_percent;C2H6_ppb;Heading_deg;GrdSpeed_mps;AGL_m;BLIndex_m
1570517596;44.9233;25.9599;171.8;-2;-0.2;9.33;58.47;2.0221;435.5094;0.71;0.48;80.3;18.7;171.8;nan
1570517597;44.9233;25.9601;171.8;-1.9;-0.3;9.31;58.54;2.0226;435.2904;0.71;0.8;80.7;20.8;171.8;nan
1570517598;44.9233;25.9604;171.7;-2;-0.2;9.32;58.76;2.0226;435.2052;0.71;0.9;80.9;22.8;171.7;nan
1570517599;44.9234;25.9607;171.6;-1.5;-0.1;9.23;58.98;2.0219;435.2052;0.71;0.57;81.1;24.7;171.6;nan
1570517600;44.9234;25.961;171.5;-1;-0.1;9.21;59.03;2.0207;434.7538;0.71;0.35;80.9;26.6;171.5;nan
1570517601;44.9235;25.9613;171.4;-0.7;-0.1;9.17;58.96;2.0227;434.6192;0.7;0.27;80.8;28.3;171.4;nan
1570517602;44.9235;25.9617;171.3;-0.6;-0.1;9.1;59;2.0227;434.3478;0.71;0.01;81;30.1;171.3;nan
1570517603;44.9235;25.9621;171.2;-0.2;-0.2;9.03;59.15;2.0215;434.3478;0.71;-0.61;80.6;31.8;171.2;nan
1570517604;44.9236;25.9625;171;0.1;-0.2;8.95;59.18;2.0226;433.8376;0.71;-0.01;80.3;33.7;171;nan
1570517605;44.9236;25.963;170.9;0.3;0;8.86;59.21;2.0228;433.5472;0.71;-0.91;80.3;35.4;170.9;nan
1570517606;44.9237;25.9634;170.7;-0.2;-0.2;8.93;59.25;2.023;433.5326;0.7;-1.61;80.3;36.8;170.7;nan
1570517607;44.9238;25.9639;170.6;0;-0.2;8.82;59.26;2.0237;433.4516;0.7;-0.54;80.1;38.3;170.6;nan
1570517608;44.9238;25.9644;171.2;-0.2;-0.6;8.94;59.38;2.0234;432.7705;0.7;-0.62;79.5;39.6;171.2;nan
1570517609;44.9239;25.9649;172.4;-1.1;-0.7;8.81;59.33;2.0242;432.1957;0.7;-0.18;79.9;40.6;172.4;nan
1570517610;44.9239;25.9654;173.8;-1.5;-1;8.84;59.37;2.0269;432.1957;0.7;-0.49;80.5;41.4;173.8;nan
1570517611;44.924;25.9659;176;-2.2;-1.8;8.7;59.35;2.0314;431.5808;0.7;-0.54;79.6;42.1;176;nan
1570517612;44.924;25.9664;178;-2.5;-0.9;8.75;59.51;2.0335;431.1864;0.7;-0.79;80.3;42.9;178;nan
1570517613;44.9241;25.967;179.8;-1.7;0;8.66;59.6;2.0333;431.0629;0.7;-1.06;81.6;43.7;179.8;nan
1570517614;44.9242;25.9675;182.2;-1.6;-1;8.62;59.69;2.0329;431.0629;0.7;-0.71;80.1;44.5;182.2;nan
1570517615;44.9242;25.9681;185.1;-1.3;-1.8;8.61;59.71;2.0322;430.3739;0.7;-0.31;79;45.4;185.1;nan
1570517616;44.9243;25.9687;188.1;-0.9;-1.7;8.53;59.99;2.0322;430.0148;0.7;-1.37;78.6;46.3;188.1;nan
1570517617;44.9244;25.9693;190.2;-0.9;-0.3;8.61;60.12;2.0326;430.0148;0.7;-0.26;80.8;47.3;190.2;nan
1570517618;44.9244;25.9699;193;-1.2;-1.5;8.52;60.12;2.0319;429.5259;0.7;0.53;79.9;48.1;193;nan
1570517619;44.9245;25.9705;196.1;-1;-2.2;8.5;60.2;2.0313;429.0875;0.7;1.01;78.4;49.1;196.1;nan
1570517620;44.9246;25.9711;197.9;-1.1;-0.8;8.55;60.24;2.0314;428.9683;0.71;1.4;80.2;50;197.9;nan
1570517621;44.9246;25.9717;201.1;-1.1;-2;8.44;60.35;2.0319;428.9683;0.71;0.82;79.1;50.3;201.1;nan
1570517622;44.9247;25.9723;204.9;-1.4;-2.2;8.38;60.35;2.031;428.535;0.71;0.62;78.9;50.8;204.9;nan
1570517623;44.9248;25.973;208.3;-1;-2.4;8.34;60.53;2.0308;428.0628;0.71;0.52;79.7;51.3;208.3;nan
1570517624;44.9248;25.9736;212.1;0;-3;8.38;60.61;2.0323;428.0628;0.71;0.19;78.9;52;212.1;nan
1570517625;44.9249;25.9743;214.7;0.2;-2.3;8.3;60.56;2.0334;427.8564;0.7;0.35;79.2;52.9;214.7;nan
1570517626;44.925;25.975;217;0.1;-0.9;8.29;60.61;2.0337;427.6425;0.7;0.59;80.3;53.9;217;nan
1570517627;44.9251;25.9756;219.3;-0.8;-1.3;8.19;61.1;2.0335;427.5615;0.7;0.35;79.2;54.7;219.3;nan
1570517628;44.9251;25.9763;222.4;-1.7;-0.9;8.2;61.32;2.0324;427.5615;0.7;0.42;78.6;55.3;222.4;nan
1570517629;44.9252;25.977;226.8;-2.1;-1.1;8.11;61.35;2.031;426.3263;0.7;0.81;77.3;55.7;226.8;nan
1570517630;44.9253;25.9777;231.3;-1.7;-1.2;8.14;61.44;2.0301;424.85;0.7;0.97;76.4;56.3;231.3;nan
1570517631;44.9255;25.9784;234.3;-2.1;-0.3;8.1;61.36;2.0305;424.85;0.7;1.15;77.1;57;234.3;nan
1570517632;44.9256;25.9791;236.3;-1.9;-0.9;8.09;61.32;2.0313;424.85;0.7;0.97;76.3;57.7;236.3;nan
1570517633;44.9257;25.9798;238.1;-2;-0.5;8.02;61.26;2.0292;424.3045;0.7;0.62;76.3;58.4;238.1;nan
1570517634;44.9258;25.9805;241;-1.3;-0.6;7.98;61.25;2.0292;423.9056;0.69;0.74;75.9;58.9;241;nan
1570517635;44.926;25.9813;244.3;-1.7;-1.3;7.93;61.27;2.03;423.9056;0.69;0.29;74.7;59.4;244.3;nan
1570517636;44.9261;25.982;247.1;-1.1;-0.6;7.85;61.22;2.0305;423.9032;0.69;0.37;75.5;59.8;247.1;nan
1570517637;44.9262;25.9827;250.6;-1;-1.2;7.88;61.34;2.0318;423.9805;0.68;0.56;75.7;60.2;250.6;nan
1570517638;44.9263;25.9835;254.4;-1.2;-1.9;7.76;61.24;2.0319;424.0097;0.68;0.42;75.1;60.5;254.4;nan
1570517639;44.9265;25.9842;257.8;-1.2;-1.3;7.79;61.33;2.0322;424.0097;0.68;0.06;75.7;60.8;257.8;nan
1570517640;44.9266;25.985;261.1;-1.3;-0.8;7.72;61.42;2.0353;424.0566;0.67;-0.02;77.6;60.9;261.1;nan
1570517641;44.9267;25.9857;265.3;-1.5;-0.2;7.84;61.54;2.0353;423.6783;0.68;0.44;80.5;61;265.3;nan
1570517642;44.9268;25.9865;269.9;-1.4;0.2;7.68;61.62;2.0351;423.6783;0.68;1;83.7;61;269.9;nan
1570517643;44.9268;25.9873;275.3;-1.7;0.3;7.67;61.82;2.0349;423.2829;0.68;0.01;87.7;60.7;275.3;nan
1570517644;44.9268;25.988;281.6;-1.9;-0.5;7.53;62.13;2.0345;423.1423;0.68;0.55;91.4;60.5;281.6;nan
1570517645;44.9268;25.9887;288.1;-1.6;-0.7;7.54;62.23;2.0344;423.0592;0.68;1.98;94.5;60.5;288.1;nan
1570517646;44.9267;25.9896;294.6;-1.5;0.6;7.56;62.23;2.0338;423.0592;0.68;1.64;99.9;60.7;294.6;nan
1570517647;44.9266;25.9903;300.3;-1.7;0.6;7.48;62.33;2.0269;422.537;0.69;1.53;103.9;60.7;300.3;nan
1570517648;44.9264;25.9911;305.4;-2.3;0.4;7.51;62.44;2.0269;421.622;0.68;-0.42;108.4;60.8;305.4;0.3197
1570517649;44.9262;25.9918;310.2;-2.4;-0.5;7.45;62.37;2.0259;421.622;0.68;0.36;112.9;60.8;310.2;0.3264
1570517650;44.926;25.9925;315.2;-2.1;-0.9;7.48;62.42;2.0251;421.3361;0.68;2.21;117.5;60.9;315.2;0.3305
1570517651;44.9257;25.9931;319.5;-1.9;-0.8;7.39;62.38;2.0259;421.0012;0.68;1.21;123.2;61.1;319.5;0.3343
1570517652;44.9254;25.9937;324.2;-1.7;-1;7.31;62.39;2.0259;420.4957;0.68;1.76;128.5;61.1;324.2;0.3298
1570517653;44.925;25.9943;329.8;-1.9;-0.8;7.19;62.45;2.0261;420.4957;0.68;1.4;134;61.3;329.8;0.3212
1570517654;44.9246;25.9948;336;-2.5;0;7.17;62.51;2.0262;419.7375;0.68;0.99;139.3;61.2;336;0.305
1570517655;44.9241;25.9953;343.2;-2.6;0;7.08;62.5;2.0247;418.4396;0.67;0.61;143.6;61.2;343.2;0.2855
1570517656;44.9237;25.9957;349.4;-2.7;-0.1;7.1;62.56;2.0247;418.3935;0.67;0.42;147.8;61.3;349.4;0.2641
1570517657;44.9232;25.996;355.1;-2.8;-0.3;6.98;62.47;2.0248;418.3935;0.67;0.93;151.7;61.2;355.1;0.2387
1570517658;44.9227;25.9964;360.9;-3.3;-0.1;6.94;62.44;2.0251;418.0123;0.66;0.73;155.4;61.1;360.9;0.2127
1570517659;44.9222;25.9966;366.9;-4.3;-0.2;6.92;62.45;2.0251;417.5394;0.66;-0.11;158.8;60.9;366.9;0.1884
1570517660;44.9216;25.9968;372.8;-5;-0.4;6.92;62.46;2.026;417.528;0.66;0.51;161.6;61;372.8;0.1635
1570517661;44.9211;25.997;377.9;-4.4;-0.6;6.82;62.45;2.0308;417.0384;0.65;0.61;165.6;61.3;377.9;0.1459
1570517662;44.9206;25.9971;382;-4.5;-0.5;6.71;62.35;2.0356;417.1774;0.65;0.76;168.9;61.5;382;0.1277
1570517663;44.92;25.9972;386.7;-3.5;0;6.7;62.38;2.0358;417.2125;0.64;1.23;173.8;61.7;386.7;0.1096
1570517664;44.9194;25.9972;391.5;-3.5;0.2;6.59;62.35;2.0365;417.2125;0.64;1.25;177.4;61.8;391.5;0.0943
1570517665;44.9189;25.9971;395.6;-2.8;0;6.57;62.53;2.035;417.2449;0.64;1.72;181.4;62.2;395.6;0.0913
1570517666;44.9183;25.9971;399.7;-2.7;0.1;6.5;62.54;2.035;417.2038;0.64;2.02;186.2;62.5;399.7;0.0834
1570517667;44.9178;25.9969;405.4;-2.7;0.6;6.46;62.71;2.0368;417.2038;0.64;1.91;190.9;62.5;405.4;0.077
1570517668;44.9172;25.9967;411.9;-2.7;0.5;6.5;63.13;2.037;417.1367;0.64;2.32;195.4;62.6;411.9;0.0767
1570517669;44.9167;25.9964;416.3;-1.9;0.1;6.33;63.4;2.032;416.4623;0.64;2.43;199.6;63.1;416.3;0.0815
1570517670;44.9162;25.9961;420.1;-2.4;-0.2;6.3;63.61;2.0301;416.4623;0.64;2.19;204.2;63.3;420.1;0.0865
1570517671;44.9157;25.9957;424.3;-3.2;0;6.24;63.58;2.0259;416.4623;0.64;2.02;208.7;63.4;424.3;0.0925
1570517672;44.9152;25.9953;428.8;-3.3;0;6.25;63.67;2.0248;415.4845;0.65;2.17;213.4;63.5;428.8;0.0977
1570517673;44.9148;25.9948;433.4;-3.3;-0.7;6.19;63.61;2.025;415.251;0.65;2.38;218.7;63.7;433.4;0.107
1570517674;44.9144;25.9943;436.5;-3.8;-0.6;6.19;63.65;2.0296;415.2252;0.65;1.99;221.9;64.1;436.5;0.1133
1570517675;44.9139;25.9936;439.8;-3.2;-0.9;6.13;63.58;2.0344;416.0425;0.65;1.05;226.9;64.8;439.8;0.1209
1570517676;44.9136;25.993;441.6;-3.2;-0.4;6.02;63.62;2.0367;416.0972;0.64;0.95;230.5;65.4;441.6;0.1264
1570517677;44.9132;25.9923;442.8;-3.6;-0.7;6.06;63.91;2.0356;416.2151;0.63;1.14;233.7;66;442.8;0.1293
1570517678;44.9129;25.9916;443.6;-4.4;-0.8;5.98;64.55;2.033;416.2151;0.63;1.91;237.9;66.6;443.6;0.1309
1570517679;44.9126;25.9909;444.9;-5.3;1.1;6;65.01;2.0335;415.5397;0.63;2.34;239.7;67.3;444.9;0.1299
1570517680;44.9123;25.9901;444.8;-4.1;0.8;5.93;65.11;2.0335;415.333;0.63;2.37;243.5;68.1;444.8;0.1254
1570517681;44.9121;25.9893;445.2;-4;0.3;5.86;65.03;2.0322;415.3282;0.64;2.37;248.3;68.7;445.2;0.1185
1570517682;44.9119;25.9885;446.5;-4.4;1.3;5.96;65.06;2.0308;415.3282;0.64;1.74;250.2;69.4;446.5;0.1103
1570517683;44.9117;25.9876;447.4;-3.6;1.3;5.82;65.06;2.0307;415.023;0.64;1.18;252.5;69.9;447.4;0.0999
1570517684;44.9116;25.987;448.7;-3.8;1.3;5.79;65.07;2.0308;415.0069;0.64;1.74;253.7;70.2;448.7;0.0907
1570517685;44.9114;25.9859;451.1;-4.2;1.6;5.71;65.04;2.0333;415.0069;0.64;2.44;254.2;70.7;451.1;0.0818
1570517686;44.9113;25.985;451.8;-3.8;1.2;5.75;65.07;2.0346;415.4621;0.64;2.03;254.8;71.2;451.8;0.071
1570517687;44.9111;25.9841;451.6;-3.3;1.7;5.69;65.18;2.0342;415.6343;0.64;1.55;254.3;71.5;451.6;0.0639
1570517688;44.911;25.9833;453.2;-2.8;1.8;5.71;65.35;2.033;415.6902;0.64;2.31;253.9;71.6;453.2;0.0586
1570517689;44.9108;25.9824;456.1;-3.4;1.7;5.62;65.48;2.0309;415.6779;0.64;2.91;253.3;71.6;456.1;0.0531
1570517690;44.9106;25.9815;458.5;-3.9;1.2;5.65;65.76;2.0307;415.2127;0.64;2.66;253;71.8;458.5;0.0488
1570517691;44.9105;25.9806;459.2;-4.1;0.7;5.69;65.79;2.0307;415.1056;0.64;2.13;252.8;72.2;459.2;0.0491
1570517692;44.9103;25.9797;459.5;-3.6;0.6;5.59;65.7;2.0307;415.1056;0.64;1.52;252.7;72.7;459.5;0.0492
1570517693;44.9101;25.9789;460.2;-3.4;0.8;5.64;65.81;2.0328;415.8383;0.64;1.96;252.2;73;460.2;0.0552
1570517694;44.9099;25.978;460.6;-3.4;0.9;5.66;65.96;2.0328;416.1303;0.64;1.59;251.9;73.3;460.6;0.0603
1570517695;44.9097;25.9771;461.5;-3.1;0.7;5.64;66.24;2.0323;416.2864;0.64;2.16;251.9;73.5;461.5;0.0689
1570517696;44.9095;25.9762;462.6;-2.8;0.6;5.55;66.49;2.0303;416.2864;0.64;2.01;251.9;73.6;462.6;0.0789
1570517697;44.9093;25.9753;464.8;-3.3;0.5;5.51;66.74;2.0272;415.9256;0.64;1.49;251.9;73.8;464.8;0.0902
1570517698;44.9091;25.9744;467;-3.4;0.6;5.58;66.85;2.0272;415.2167;0.64;2.1;251.4;74;467;0.1012
1570517699;44.9089;25.9735;468.2;-2.5;1.2;5.5;66.83;2.0257;415.2167;0.65;2.27;251.1;74.2;468.2;0.1113
1570517700;44.9087;25.9726;469.6;-2.6;0.9;5.58;66.91;2.024;415.1228;0.65;1.82;250.7;74.4;469.6;0.1212
1570517701;44.9085;25.9717;470.7;-3.9;0.9;5.47;66.83;2.0214;414.6145;0.66;1.67;250.1;74.4;470.7;0.1302
1570517702;44.9083;25.9708;472.3;-3.7;1.3;5.48;66.86;2.0214;414.2229;0.65;1.91;249.1;74.4;472.3;0.1395
1570517703;44.9081;25.9699;474.4;-3.8;1;5.46;66.83;2.021;414.2229;0.65;1.35;249;74.3;474.4;0.1434
1570517704;44.9079;25.969;476.2;-4.3;1.3;5.51;66.74;2.0206;414.2338;0.65;0.87;248.2;74.3;476.2;0.1472
1570517705;44.9077;25.9682;477.6;-3.8;1.3;5.45;66.68;2.0207;414.4653;0.65;0.61;247.9;74.3;477.6;0.1529
1570517706;44.9074;25.9673;479.8;-3.3;1;5.5;66.74;2.0208;414.5168;0.64;0.25;247.6;74.3;479.8;0.153
1570517707;44.9072;25.9664;482.1;-3.1;0.6;5.44;66.72;2.0213;414.5168;0.64;0.19;247.5;74.3;482.1;0.1549
1570517708;44.9069;25.9655;483.7;-3.3;1;5.44;66.71;2.0223;414.5574;0.63;0.45;246.8;74.2;483.7;0.1625
1570517709;44.9067;25.9646;484.7;-3.7;1.3;5.44;66.75;2.0223;414.6812;0.63;0.75;246;74.3;484.7;0.1668
1570517710;44.9064;25.9638;485.1;-2.9;0.3;5.37;66.72;2.0214;414.6825;0.63;1.15;246.5;74.4;485.1;0.1721
1570517711;44.9062;25.9629;485.7;-3.5;0.5;5.43;66.81;2.0201;414.6183;0.63;1.15;245.8;74.5;485.7;0.1759
1570517712;44.9059;25.9621;486.8;-3.6;0.8;5.36;66.8;2.0181;414.5601;0.64;0.56;245.1;74.6;486.8;0.1812
1570517713;44.9057;25.9612;486.4;-4.1;0.3;5.4;66.89;2.0182;414.5469;0.64;0.14;245.3;74.9;486.4;0.1885
1570517714;44.9054;25.9603;486;-4.2;1;5.3;66.76;2.0197;414.5469;0.64;0.44;244.3;74.9;486;0.191
1570517715;44.9051;25.9594;487.4;-4.1;-0.1;5.42;66.84;2.0207;414.9113;0.64;0.78;244.7;75;487.4;0.1946
1570517716;44.9048;25.9586;488.3;-4.6;0.4;5.33;66.85;2.0221;414.8834;0.64;0.48;243.9;75.1;488.3;0.1987
1570517717;44.9045;25.9577;488;-4.1;0.7;5.38;66.93;2.0222;414.8603;0.64;0.55;243.6;75.2;488;0.2006
1570517718;44.9043;25.9568;488.2;-4;0.3;5.3;66.96;2.0227;414.8651;0.64;0.62;243.7;75.3;488.2;0.1999
1570517719;44.904;25.956;489.2;-4;0.1;5.3;67.2;2.0189;414.8502;0.65;0.19;243.5;75.4;489.2;0.1971
1570517720;44.9037;25.9551;490;-4.2;0.8;5.39;67.44;2.0189;414.3565;0.65;0.32;242.5;75.5;490;0.1935
1570517721;44.9034;25.9542;490.8;-4.4;0.9;5.33;67.42;2.0182;414.3565;0.65;0.3;242.1;75.4;490.8;0.1924
1570517722;44.9031;25.9534;491.6;-5.1;1.1;5.28;67.5;2.0176;414.1024;0.65;0.35;241.7;75.3;491.6;0.1901
1570517723;44.9028;25.9525;492;-4.9;0.8;5.29;67.43;2.0191;414.286;0.65;0.49;242.1;75.4;492;0.1866
1570517724;44.9025;25.9516;492.6;-4.1;0.7;5.3;67.41;2.0193;414.5428;0.65;0.4;242.6;75.4;492.6;0.1864
1570517725;44.9022;25.9508;493.1;-4.2;1;5.26;67.48;2.0202;414.5428;0.65;0.58;242.2;75.3;493.1;0.1833
1570517726;44.9019;25.9499;493.6;-4.1;0.9;5.37;67.5;2.0235;414.9456;0.64;-0.19;242;75.3;493.6;0.1767
1570517727;44.9016;25.9491;494.1;-4.4;0.7;5.3;67.52;2.0235;415.2926;0.64;-0.16;241.6;75.3;494.1;0.1751
1570517728;44.9013;25.9482;495;-4.8;0.6;5.24;67.92;2.0235;415.3873;0.64;0.37;241.4;75.3;495;0.1669
1570517729;44.901;25.9474;494.8;-4.6;-0.1;5.26;68.16;2.0236;415.3873;0.64;0.16;242;75.2;494.8;0.154
1570517730;44.9007;25.9465;494.4;-4.3;0.9;5.29;68.47;2.0221;415.4651;0.65;-0.65;241.2;75.3;494.4;0.145
1570517731;44.9004;25.9457;494.9;-3.8;0.9;5.31;68.62;2.0218;415.4436;0.65;0.27;240.6;75.2;494.9;0.1331
1570517732;44.9001;25.9448;494.9;-4.1;0.7;5.21;68.67;2.0214;415.4436;0.65;0.98;240.3;75.2;494.9;0.1208
1570517733;44.8998;25.944;495;-4.5;1.1;5.25;68.84;2.0211;415.4525;0.66;0.19;239.2;75.2;495;0.1095
1570517734;44.8995;25.9432;494.7;-4.5;-0.3;5.16;68.87;2.0201;415.0959;0.66;-0.09;240;75.3;494.7;0.0976
1570517735;44.8991;25.9423;494.3;-4.6;0.3;5.26;68.9;2.0194;415.0959;0.66;0.13;239;75.5;494.3;0.0866
1570517736;44.8988;25.9415;494.1;-3.9;0.2;5.27;68.97;2.0188;414.7747;0.66;0.04;238.8;75.7;494.1;0.078
1570517737;44.8985;25.9406;493.6;-3.4;0.8;5.23;69.03;2.0171;414.685;0.66;-0.59;238.1;75.7;493.6;0.069
1570517738;44.8981;25.9398;493.4;-2.9;0.1;5.22;69.08;2.0171;414.5344;0.66;-0.4;238.6;75.8;493.4;0.0635
1570517739;44.8978;25.939;494;-3;0.7;5.26;69.01;2.0169;414.5344;0.66;0.14;238.1;75.6;494;0.0644
1570517740;44.8974;25.9382;494.8;-2.6;0.3;5.22;69.05;2.0167;414.3613;0.66;0.01;238.8;75.4;494.8;0.0691
1570517741;44.8971;25.9373;496.1;-3.1;-0.5;5.16;69;2.0154;414.1696;0.66;0.09;239.6;75.1;496.1;0.0718
1570517742;44.8968;25.9365;497.5;-4;-0.4;5.22;69.08;2.0148;414.1696;0.66;-0.26;239.3;74.8;497.5;0.0732
1570517743;44.8964;25.9357;497.6;-4.6;-0.1;5.17;68.96;2.0137;414.1696;0.66;-0.25;238.6;74.8;497.6;0.0783
1570517744;44.8961;25.9349;496.9;-3.6;-0.3;5.21;68.96;2.012;414.0276;0.65;-0.32;238.7;74.8;496.9;0.0821
1570517745;44.8958;25.9341;495.3;-3.7;-0.3;5.17;68.92;2.012;414.0321;0.65;-0.79;238.4;75;495.3;0.0861
1570517746;44.8954;25.9332;493.5;-3.9;-0.1;5.16;69;2.0113;414.0321;0.65;-0.23;237.5;75.1;493.5;0.0904
1570517747;44.8951;25.9324;491.8;-4.2;-0.3;5.22;68.99;2.0075;413.9084;0.65;-0.3;237.2;75.2;491.8;0.0943
1570517748;44.8947;25.9316;491.9;-4.3;-0.1;5.19;68.92;2.0075;413.4916;0.65;-0.28;236.7;75.1;491.9;0.0994
1570517749;44.8944;25.9308;493.3;-4.1;-0.7;5.25;68.94;2.0063;413.4916;0.65;-0.22;237.2;74.8;493.3;0.1025
1570517750;44.894;25.93;494.8;-4.8;0.2;5.19;68.66;2.0051;413.4916;0.65;-0.38;236.2;74.6;494.8;0.1049
1570517751;44.8937;25.9292;495.6;-4.5;-0.1;5.18;68.41;2.0059;412.7241;0.64;-0.62;236.5;74.6;495.6;0.117
1570517752;44.8933;25.9284;495.9;-5.1;0.1;5.11;67.41;2.0058;412.586;0.64;-1.66;236.2;74.5;495.9;0.1297
1570517753;44.893;25.9276;496.2;-5.5;0.7;5.11;66.97;2.0055;412.586;0.64;-1.39;235.3;74.5;496.2;0.1386
1570517754;44.8926;25.9268;496.8;-5.2;0.2;5.18;66.94;2.0053;412.4422;0.64;-1.3;235.6;74.6;496.8;0.1517
1570517755;44.8922;25.926;496.6;-5.1;-1;5.14;66.89;2.0052;412.4254;0.64;-1.57;236.3;74.7;496.6;0.1691
1570517756;44.8919;25.9252;495.9;-5.6;-0.4;5.15;66.68;2.0046;412.4189;0.63;-0.91;235.2;74.8;495.9;0.191
1570517757;44.8915;25.9244;495;-5.5;-0.7;5.16;66.46;2.0035;412.4189;0.63;-0.71;234.8;74.9;495;0.2153
1570517758;44.8912;25.9236;494.1;-5.5;-0.8;5.18;66.41;2.0049;412.2733;0.62;-0.84;234.6;75;494.1;0.2362
